,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_F522Y.fcs,0.67,2.02,0.077,0.77,
Control_GAPDH.fcs,48.0,19.0,8.02,3.17,
Control_M.fcs,35.6,13.8,4.51,2.16,
Control_MDDC+R9.fcs,,,4.62,1.37,
Control_NI.fcs,0.52,1.46,0,1.23,
Control_NT.fcs,53.3,21.9,9.19,3.01,
Control_NT2.fcs,38.7,14.8,4.07,1.93,
Control_NT3.fcs,36.3,14.8,5.90,3.35,
Control_UT.fcs,14.2,5.07,1.17,0.31,
siMDDC-SupT1_A2.fcs,30.1,12.8,1.85,0.68,
siMDDC-SupT1_A3.fcs,33.8,12.5,2.10,0.74,
siMDDC-SupT1_A4.fcs,25.6,9.35,2.31,0.86,
siMDDC-SupT1_A5.fcs,48.0,20.7,12.6,1.57,
siMDDC-SupT1_A6.fcs,39.1,16.2,5.05,1.21,
siMDDC-SupT1_A7.fcs,40.3,17.7,6.50,1.95,
siMDDC-SupT1_A8.fcs,38.4,16.8,9.83,1.93,
siMDDC-SupT1_A9.fcs,39.3,16.9,5.72,1.29,
siMDDC-SupT1_A10.fcs,27.1,11.7,4.45,1.94,
siMDDC-SupT1_A11.fcs,36.7,13.9,6.47,1.87,
siMDDC-SupT1_B2.fcs,20.4,7.66,1.21,1.02,
siMDDC-SupT1_B3.fcs,16.6,6.67,0.61,0.61,
siMDDC-SupT1_B4.fcs,21.7,8.60,2.46,1.98,
siMDDC-SupT1_B5.fcs,21.4,8.94,2.35,2.11,
siMDDC-SupT1_B6.fcs,15.3,6.65,0.93,2.18,
siMDDC-SupT1_B7.fcs,25.7,9.65,1.50,1.78,
siMDDC-SupT1_B8.fcs,11.5,5.30,1.37,1.85,
siMDDC-SupT1_B9.fcs,16.8,7.59,1.26,1.76,
siMDDC-SupT1_B10.fcs,6.71,4.72,0.36,2.54,
siMDDC-SupT1_B11.fcs,15.4,6.10,1.23,1.59,
siMDDC-SupT1_C2.fcs,11.8,4.21,0.41,0.55,
siMDDC-SupT1_C3.fcs,13.7,5.37,0.58,0.58,
siMDDC-SupT1_C4.fcs,8.05,3.34,0.78,0.55,
siMDDC-SupT1_C5.fcs,44.7,18.1,3.46,2.73,
siMDDC-SupT1_C6.fcs,31.9,12.1,3.52,1.82,
siMDDC-SupT1_C7.fcs,34.2,13.8,1.74,2.72,
siMDDC-SupT1_C8.fcs,34.7,14.5,4.61,3.34,
siMDDC-SupT1_C9.fcs,29.4,11.4,3.15,1.37,
siMDDC-SupT1_C10.fcs,13.6,5.91,1.07,1.46,
siMDDC-SupT1_C11.fcs,30.0,11.7,3.03,1.11,
siMDDC-SupT1_D2.fcs,20.1,6.81,2.50,0.69,
siMDDC-SupT1_D3.fcs,27.3,11.1,2.34,0.95,
siMDDC-SupT1_D4.fcs,30.2,11.5,1.53,1.02,
