,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_CD4+R9.fcs,99.2,98.7,,,
Control_F522Y.fcs,0.15,0.67,0.076,0.68,
Control_GAPDH.fcs,18.8,11.1,3.99,1.70,
Control_M.fcs,47.2,30.5,11.6,2.03,
Control_MDDC+R9.fcs,,,1.75,0.76,
Control_NI.fcs,0.085,0.61,0.27,0.13,
Control_NT.fcs,39.2,24.2,8.81,2.82,
Control_NT2.fcs,38.0,23.8,5.81,2.49,
Control_NT3.fcs,34.0,19.5,4.55,1.69,
Control_UT.fcs,12.8,5.34,1.31,0.51,
siMDDC-SupT1_A2.fcs,29.3,16.6,7.52,0.71,
siMDDC-SupT1_A3.fcs,46.5,26.3,15.7,1.92,
siMDDC-SupT1_A4.fcs,47.3,27.2,9.85,1.01,
siMDDC-SupT1_A5.fcs,48.7,28.3,6.85,0.95,
siMDDC-SupT1_A6.fcs,53.4,31.6,12.5,1.58,
siMDDC-SupT1_A7.fcs,40.9,23.8,7.76,1.28,
siMDDC-SupT1_A8.fcs,37.2,21.1,8.32,0.85,
siMDDC-SupT1_A9.fcs,27.5,13.7,5.79,0.34,
siMDDC-SupT1_A10.fcs,24.0,12.2,4.51,0.95,
siMDDC-SupT1_A11.fcs,29.9,12.6,4.80,0.70,
siMDDC-SupT1_B2.fcs,32.9,16.6,6.76,0.35,
siMDDC-SupT1_B3.fcs,45.6,27.3,12.0,1.23,
siMDDC-SupT1_B4.fcs,48.3,26.9,9.71,0.54,
siMDDC-SupT1_B5.fcs,46.2,27.5,11.5,1.86,
siMDDC-SupT1_B6.fcs,45.9,26.5,9.49,1.73,
siMDDC-SupT1_B7.fcs,44.9,27.5,15.5,1.71,
siMDDC-SupT1_B8.fcs,32.4,17.6,11.3,0.86,
siMDDC-SupT1_B9.fcs,36.8,21.2,9.87,1.72,
siMDDC-SupT1_B10.fcs,23.5,11.4,4.52,0.59,
siMDDC-SupT1_B11.fcs,23.5,11.8,6.14,1.12,
siMDDC-SupT1_C2.fcs,30.1,17.0,6.13,1.66,
siMDDC-SupT1_C3.fcs,38.0,24.3,5.92,1.68,
siMDDC-SupT1_C4.fcs,44.5,30.0,14.1,2.67,
siMDDC-SupT1_C5.fcs,48.5,31.5,16.1,3.50,
siMDDC-SupT1_C6.fcs,53.4,35.0,16.6,3.61,
siMDDC-SupT1_C7.fcs,51.4,32.2,17.3,1.92,
siMDDC-SupT1_C8.fcs,55.4,32.4,21.5,1.45,
siMDDC-SupT1_C9.fcs,38.2,20.6,13.7,1.80,
siMDDC-SupT1_C10.fcs,26.3,14.6,6.57,0.87,
siMDDC-SupT1_C11.fcs,18.9,8.59,4.67,0.79,
siMDDC-SupT1_D2.fcs,20.3,10.2,6.97,0.79,
siMDDC-SupT1_D3.fcs,28.3,14.9,9.10,0.80,
siMDDC-SupT1_D4.fcs,30.9,17.6,7.87,1.20,
siMDDC-SupT1_D5.fcs,28.6,16.7,6.88,1.78,
siMDDC-SupT1_D6.fcs,32.8,17.8,10.6,0.96,
siMDDC-SupT1_D7.fcs,23.6,13.2,6.75,0.72,
siMDDC-SupT1_D8.fcs,33.0,17.2,12.4,0.99,
siMDDC-SupT1_D9.fcs,29.7,15.3,10.4,1.14,
siMDDC-SupT1_D10.fcs,20.6,9.95,8.91,0.46,
siMDDC-SupT1_D11.fcs,22.8,11.7,6.87,0.58,
siMDDC-SupT1_E2.fcs,40.0,23.9,14.3,2.64,
siMDDC-SupT1_E3.fcs,16.0,8.37,3.58,0.37,
siMDDC-SupT1_E4.fcs,21.2,12.8,3.39,1.41,
siMDDC-SupT1_E5.fcs,29.2,16.0,5.18,1.12,
siMDDC-SupT1_E6.fcs,28.3,16.6,5.03,2.20,
siMDDC-SupT1_E7.fcs,22.5,13.7,2.52,2.40,
siMDDC-SupT1_E8.fcs,28.9,15.5,6.51,1.94,
siMDDC-SupT1_E9.fcs,22.4,12.2,3.65,1.19,
siMDDC-SupT1_E10.fcs,27.3,14.8,5.08,1.25,
siMDDC-SupT1_E11.fcs,19.7,8.73,3.60,0.60,
siMDDC-SupT1_F2.fcs,23.3,9.75,6.28,1.00,
siMDDC-SupT1_F3.fcs,22.7,9.70,3.48,0.12,
siMDDC-SupT1_F4.fcs,27.9,13.6,5.13,1.03,
siMDDC-SupT1_F5.fcs,63.9,38.8,21.0,4.30,
siMDDC-SupT1_F6.fcs,40.0,22.8,6.87,1.87,
siMDDC-SupT1_F7.fcs,42.6,23.2,5.82,1.65,
siMDDC-SupT1_F8.fcs,30.6,16.6,2.66,0.98,
siMDDC-SupT1_F9.fcs,23.6,11.1,1.49,0.65,
siMDDC-SupT1_F10.fcs,25.8,11.1,3.01,0.77,
siMDDC-SupT1_F11.fcs,16.9,6.80,2.70,0.80,
siMDDC-SupT1_G2.fcs,26.2,10.7,8.81,0.75,
siMDDC-SupT1_G3.fcs,34.2,14.3,13.9,0.64,
siMDDC-SupT1_G4.fcs,50.1,20.1,27.5,1.02,
siMDDC-SupT1_G5.fcs,41.0,20.5,12.7,1.47,
siMDDC-SupT1_G6.fcs,53.7,26.9,14.1,1.98,
siMDDC-SupT1_G7.fcs,42.0,21.1,7.19,1.71,
siMDDC-SupT1_G8.fcs,41.2,21.3,6.93,0.59,
siMDDC-SupT1_G9.fcs,41.7,20.9,9.44,1.75,
siMDDC-SupT1_G10.fcs,28.5,12.7,5.69,1.01,
siMDDC-SupT1_G11.fcs,27.7,12.3,5.16,0.58,
siMDDC-SupT1_H2.fcs,43.9,26.2,15.0,6.43,
siMDDC-SupT1_H3.fcs,25.7,12.7,8.31,1.20,
siMDDC-SupT1_H4.fcs,27.7,14.1,5.05,1.51,
siMDDC-SupT1_H5.fcs,31.2,15.7,3.85,1.60,
siMDDC-SupT1_H6.fcs,29.8,16.1,5.81,1.86,
siMDDC-SupT1_H7.fcs,30.9,15.9,5.36,1.73,
siMDDC-SupT1_H8.fcs,34.5,18.3,6.91,1.25,
siMDDC-SupT1_H9.fcs,25.2,12.1,3.09,0.97,
siMDDC-SupT1_H10.fcs,24.9,10.6,4.02,0.80,
siMDDC-SupT1_H11.fcs,26.8,10.7,5.97,0.89,
Mean,,,,,
SD,,,,,
